kód	název	strom
1	Zákonodárci a řídící pracovníci	1/
2	Specialisté	2/
3	Techničtí a odborní pracovníci	3/
4	Úředníci	4/
5	Pracovníci ve službách a prodeji	5/
6	Kvalifikovaní pracovníci v zemědělství, lesnictví a rybářství	6/
7	Řemeslníci a opraváři	7/
8	Obsluha strojů a zařízení, montéři	8/
9	Pomocní a nekvalifikovaní pracovníci	9/
0	Zaměstnanci v ozbrojených silách	0/
11	Zákonodárci, nejvyšší státní úředníci a nejvyšší představitelé společností	1/11/
12	Řídící pracovníci v oblasti správy podniku, obchodních, administrativních a podpůrných činností	1/12/
13	Řídící pracovníci v oblasti výroby, informačních technologií, vzdělávání a v příbuzných oborech	1/13/
14	Řídící pracovníci v oblasti ubytovacích a stravovacích služeb, obchodu a ostatní řídící pracovníci	1/14/
21	Specialisté v oblasti vědy a techniky	2/21/
22	Specialisté v oblasti zdravotnictví	2/22/
23	Specialisté v oblasti výchovy a vzdělávání	2/23/
24	Specialisté v obchodní sféře a veřejné správě	2/24/
25	Specialisté v oblasti informačních a komunikačních technologií	2/25/
26	Specialisté v oblasti právní, sociální, kulturní a v příbuzných oblastech	2/26/
31	Techničtí a odborní pracovníci v oblasti vědy a techniky	3/31/
32	Odborní pracovníci v oblasti zdravotnictví	3/32/
33	Odborní pracovníci v obchodní sféře a veřejné správě	3/33/
34	Odborní pracovníci v oblasti práva, kultury, sportu a v příbuzných oborech	3/34/
35	Technici v oblasti informačních a komunikačních technologií	3/35/
41	Všeobecní administrativní pracovníci, sekretáři a pracovníci pro zadávání dat a zpracování textů	4/41/
42	Pracovníci informačních služeb, na přepážkách a v příbuzných oborech	4/42/
43	Úředníci pro zpracování číselných údajů a v logistice	4/43/
44	Ostatní úředníci	4/44/
51	Pracovníci v oblasti osobních služeb	5/51/
52	Pracovníci v oblasti prodeje	5/52/
53	Pracovníci osobní péče v oblasti vzdělávání, zdravotnictví a v příbuzných oblastech	5/53/
54	Pracovníci v oblasti ochrany a ostrahy	5/54/
61	Kvalifikovaní pracovníci v zemědělství	6/61/
62	Kvalifikovaní pracovníci v lesnictví, rybářství a myslivosti	6/62/
63	Farmáři, rybáři, lovci a sběrači samozásobitelé	6/63/
71	Řemeslníci a kvalifikovaní pracovníci na stavbách (kromě elektrikářů)	7/71/
72	Kovodělníci, strojírenští dělníci a pracovníci v příbuzných oborech	7/72/
73	Pracovníci v oblasti uměleckých a tradičních řemesel a polygrafie	7/73/
74	Pracovníci v oboru elektroniky a elektrotechniky	7/74/
75	Zpracovatelé potravin, dřeva, textilu a pracovníci v příbuzných oborech	7/75/
81	Obsluha stacionárních strojů a zařízení	8/81/
82	Montážní dělníci výrobků a zařízení	8/82/
83	Řidiči a obsluha pojízdných zařízení	8/83/
91	Uklízeči a pomocníci	9/91/
92	Pomocní pracovníci v zemědělství, lesnictví a rybářství	9/92/
93	Pomocní pracovníci v oblasti těžby, stavebnictví, výroby, dopravy a v příbuzných oborech	9/93/
94	Pomocní pracovníci při přípravě jídla	9/94/
95	Pracovníci pouličního prodeje a poskytování služeb	9/95/
96	Pracovníci s odpady a ostatní pomocní pracovníci	9/96/
01	Generálové a důstojníci v ozbrojených silách	0/01/
02	Poddůstojníci v ozbrojených silách	0/02/
03	Zaměstnanci v ozbrojených silách (kromě generálů, důstojníků a poddůstojníků)	0/03/
111	Zákonodárci a nejvyšší úředníci veřejné správy, politických a zájmových organizací	1/11/111/
112	Nejvyšší představitelé společností a institucí (kromě politických, zájmových a příbuzných organizací)	1/11/112/
121	Řídící pracovníci v oblasti správy podniku, administrativních a podpůrných činností	1/12/121/
122	Řídící pracovníci v oblasti obchodu, marketingu, výzkumu, vývoje, reklamy a styku s veřejností	1/12/122/
131	Řídící pracovníci v zemědělství, lesnictví, rybářství a v oblasti životního prostředí	1/13/131/
132	Řídící pracovníci v průmyslové výrobě, těžbě, stavebnictví, dopravě a v příbuzných oborech	1/13/132/
133	Řídící pracovníci v oblasti informačních a komunikačních technologií	1/13/133/
134	Řídící pracovníci v oblasti vzdělávání, zdravotnictví, v sociálních a jiných oblastech	1/13/134/
141	Řídící pracovníci v oblasti ubytovacích a stravovacích služeb	1/14/141/
142	Řídící pracovníci v maloobchodě a velkoobchodě	1/14/142/
143	Ostatní řídící pracovníci	1/14/143/
211	Specialisté v oblasti fyziky, chemie a v příbuzných oborech	2/21/211/
212	Specialisté v oblasti matematiky, statistiky a pojistné matematiky	2/21/212/
213	Specialisté v biologických a příbuzných oborech	2/21/213/
214	Specialisté ve výrobě, stavebnictví a příbuzných oborech	2/21/214/
215	Specialisté v oblasti elektrotechniky, elektroniky a elektronických komunikací	2/21/215/
216	Architekti, specialisté v oblasti územního plánování, návrháři a příbuzní pracovníci	2/21/216/
221	Lékaři (kromě zubních lékařů)	2/22/221/
222	Všeobecné sestry a porodní asistentky se specializací	2/22/222/
223	Specialisté v oblasti tradiční a alternativní medicíny	2/22/223/
224	Nelékařští praktici	2/22/224/
225	Veterinární lékaři	2/22/225/
226	Ostatní specialisté v oblasti zdravotnictví	2/22/226/
231	Učitelé na vysokých a vyšších odborných školách	2/23/231/
232	Učitelé odborných předmětů, praktického vyučování, odborného výcviku (kromě pro žáky se speciálními vzdělávacími potřebami) a lektoři dalšího vzdělávání	2/23/232/
233	Učitelé na středních školách (kromě odborných předmětů), konzervatořích a na 2. stupni základních škol	2/23/233/
234	Učitelé na 1. stupni základních škol a učitelé v oblasti předškolní výchovy	2/23/234/
235	Ostatní specialisté v oblasti výchovy a vzdělávání	2/23/235/
241	Specialisté v oblasti financí	2/24/241/
242	Specialisté v oblasti strategie a personálního řízení	2/24/242/
243	Specialisté v oblasti prodeje, nákupu, marketingu a styku s veřejností	2/24/243/
251	Analytici a vývojáři softwaru a počítačových aplikací	2/25/251/
252	Specialisté v oblasti databází a počítačových sítí	2/25/252/
261	Specialisté v oblasti práva a příbuzných oblastech	2/26/261/
262	Specialisté v knihovnách, archivech a v příbuzných oblastech	2/26/262/
263	Specialisté v oblasti sociální, církevní a v příbuzných oblastech	2/26/263/
264	Spisovatelé, novináři a jazykovědci	2/26/264/
265	Výkonní umělci a příbuzní specialisté	2/26/265/
311	Technici ve fyzikálních a průmyslových oborech	3/31/311/
312	Mistři a příbuzní pracovníci v oblasti těžby, výroby a stavebnictví	3/31/312/
313	Operátoři velínů	3/31/313/
314	Technici v biologických oborech a příbuzných oblastech	3/31/314/
