kod	nazev	strom
62	Činnosti v oblasti informačních technologií	J/62/
63	Informační činnosti	J/63/
64	Finanční zprostředkování, kromě pojišťovnictví a penzijního financování	K/64/
65	Pojištění, zajištění a penzijní financování, kromě povinného sociálního zabezpečení	K/65/
66	Ostatní finanční činnosti	K/66/
68	Činnosti v oblasti nemovitostí	L/68/
69	Právní a účetnické činnosti	M/69/
70	Činnosti vedení podniků; poradenství v oblasti řízení	M/70/
71	Architektonické a inženýrské činnosti; technické zkoušky a analýzy	M/71/
72	Výzkum a vývoj	M/72/
73	Reklama a průzkum trhu	M/73/
74	Ostatní profesní, vědecké a technické činnosti	M/74/
75	Veterinární činnosti	M/75/
77	Činnosti v oblasti pronájmu a operativního leasingu	N/77/
78	Činnosti související se zaměstnáním	N/78/
79	Činnosti cestovních agentur, kanceláří a jiné rezervační a související činnosti	N/79/
80	Bezpečnostní a pátrací činnosti	N/80/
81	Činnosti související se stavbami a úpravou krajiny	N/81/
82	Administrativní, kancelářské a jiné podpůrné činnosti pro podnikání	N/82/
84	Veřejná správa a obrana; povinné sociální zabezpečení	O/84/
85	Vzdělávání	P/85/
86	Zdravotní péče	Q/86/
87	Pobytové služby sociální péče	Q/87/
88	Ambulantní nebo terénní sociální služby	Q/88/
90	Tvůrčí, umělecké a zábavní činnosti	R/90/
91	Činnosti knihoven, archivů, muzeí a jiných kulturních zařízení	R/91/
92	Činnosti heren, kasin a sázkových kanceláří	R/92/
93	Sportovní, zábavní a rekreační činnosti	R/93/
94	Činnosti organizací sdružujících osoby za účelem prosazování společných zájmů	S/94/
95	Opravy počítačů a výrobků pro osobní potřebu a převážně pro domácnost	S/95/
96	Poskytování ostatních osobních služeb	S/96/
97	Činnosti domácností jako zaměstnavatelů domácího personálu	T/97/
98	Činnosti domácností produkujících blíže neurčené výrobky a služby pro vlastní potřebu	T/98/
99	Činnosti exteritoriálních organizací a orgánů	U/99/
01.1	Pěstování plodin jiných než trvalých	A/01/01.1/
01.2	Pěstování trvalých plodin	A/01/01.2/
01.3	Množení rostlin	A/01/01.3/
01.4	Živočišná výroba	A/01/01.4/
01.5	Smíšené hospodářství	A/01/01.5/
01.6	Podpůrné činnosti pro zemědělství a posklizňové činnosti	A/01/01.6/
01.7	Lov a odchyt divokých zvířat a související činnosti	A/01/01.7/
02.1	Lesní hospodářství a jiné činnosti v oblasti lesnictví	A/02/02.1/
02.2	Těžba dřeva	A/02/02.2/
02.3	Sběr a získávání volně rostoucích plodů a materiálů, kromě dřeva	A/02/02.3/
02.4	Podpůrné činnosti pro lesnictví	A/02/02.4/
03.1	Rybolov	A/03/03.1/
03.2	Akvakultura	A/03/03.2/
05.1	Těžba a úprava černého uhlí	B/05/05.1/
05.2	Těžba a úprava hnědého uhlí	B/05/05.2/
06.1	Těžba ropy	B/06/06.1/
06.2	Těžba zemního plynu	B/06/06.2/
07.1	Těžba a úprava železných rud	B/07/07.1/
07.2	Těžba a úprava neželezných rud	B/07/07.2/
08.1	Dobývání kamene, písků a jílů	B/08/08.1/
08.9	Těžba a dobývání j. n.	B/08/08.9/
09.1	Podpůrné činnosti při těžbě ropy a zemního plynu	B/09/09.1/
09.9	Podpůrné činnosti při ostatní těžbě a dobývání	B/09/09.9/
10.1	Zpracování a konzervování masa a výroba masných výrobků	C/10/10.1/
10.2	Zpracování a konzervování ryb, korýšů a měkkýšů	C/10/10.2/
10.3	Zpracování a konzervování ovoce a zeleniny	C/10/10.3/
10.4	Výroba rostlinných a živočišných olejů a tuků	C/10/10.4/
10.5	Výroba mléčných výrobků	C/10/10.5/
10.6	Výroba mlýnských a škrobárenských výrobků	C/10/10.6/
10.7	Výroba pekařských, cukrářských a jiných moučných výrobků	C/10/10.7/
10.8	Výroba ostatních potravinářských výrobků	C/10/10.8/
10.9	Výroba průmyslových krmiv	C/10/10.9/
11.0	Výroba nápojů	C/11/11.0/
12.0	Výroba tabákových výrobků	C/12/12.0/
13.1	Úprava a spřádání textilních vláken a příze	C/13/13.1/
13.2	Tkaní textilií	C/13/13.2/
13.3	Konečná úprava textilií	C/13/13.3/
13.9	Výroba ostatních textilií	C/13/13.9/
